Date,단기채로그,중기채로그,ksp로그,iau로그,dbc로그,vnq로그,nsd로그,상승,코스피
2006-03-01,0.0,0.0,0.0,0.0019606380421848257,-0.002149184634122392,0.005808083999913727,-0.0004933044256452135,0,1371.589966
2006-03-02,0.00026255623190074573,-0.00010213920812773836,-0.002840164700507408,0.01133150454173748,0.017910967076350648,-0.0012201729523035887,-0.012176004174265564,0,1367.699951171875
2006-03-03,0.00010474311993391439,0.00043824188091790006,-0.028741341195360093,-0.007067160673786432,0.009255517418653714,-0.005508117376070931,0.017102891296831846,0,1328.949951171875
2006-03-06,0.0003263124332928413,-0.0008304615398095905,0.011826445722899592,-0.018973174948188287,-0.016040987048811406,0.017941788240801948,-0.018103346547388988,0,1344.760009765625
2006-03-07,9.405090534642113e-05,-0.0008400421724719109,-0.021109710468617315,-0.005072452547515649,-0.01760081441228456,-0.012128718748099399,-0.04321239932976306,0,1316.6700439453125
2006-03-08,0.00020337395116243329,0.0008178284317903461,-0.001991847016038939,-0.019624632016871146,-0.016153946149994436,0.005172992024263134,0.0075491505278457716,0,1314.050048828125
2006-03-09,0.00013505009691883174,0.0021903191375507447,-0.0021636630185470906,0.006645727720404171,0.010072366943959743,0.00816094529121525,0.02408509287576832,0,1311.2099609375
2006-03-10,0.00012801034727871752,0.001366432465221834,0.006734379578504424,-0.008314149894885325,-0.004366885435082235,0.008990032190888009,0.0978388066633058,0,1320.0699462890625
2006-03-13,0.00032038548913781995,-0.0007824093976704916,0.013700504460295804,0.008682040827883153,0.013043679418205834,-0.006584738911051602,-0.0059868585715112665,0,1338.280029296875
2006-03-14,0.00017027396377677917,0.0007549536884727814,-0.00899208193413692,0.011157015130704107,0.01458013109101719,0.0071813608307285115,-0.0009240685854359221,0,1326.300048828125
2006-03-15,0.0001455462389667872,0.0008148097926046205,0.005773792902494357,0.0041745706105400515,-0.011130348568767268,0.018755429320117756,0.034309554839210055,0,1333.97998046875
2006-03-16,8.839517254521922e-05,-0.0005338772469443143,0.0014981500871442677,0.002351880169740639,0.008572745931672454,0.010333989103943342,-0.011456851077997321,0,1335.97998046875
2006-03-17,0.00015150453811507703,0.0006408148273475689,0.003839991790620445,-0.0025330100553495605,-0.00470598038796588,0.008937686036258441,-0.010904056352128766,0,1341.1199951171875
2006-03-20,0.0003717308282098486,0.00016364054430262343,0.004144604264335605,0.0005432912624234731,-0.020798076685741407,-0.016974585512832263,0.006829019772990552,0,1346.68994140625
2006-03-21,0.0001213059718736531,-0.00011217049221734499,-0.007483184368245688,-0.005628641436387305,0.0034966153535087585,-0.011666687951352284,-0.01669940069131659,0,1336.6500244140625
2006-03-22,8.568161153554854e-05,0.0001380214414172798,-0.020269177760497747,-0.0016401464158399826,-0.0017467336384617838,0.002225745460747497,-0.03235158429385532,0,1309.8299560546875
2006-03-23,0.0001248827589943602,0.0002443648161438716,0.0018535248129003534,-0.0005472558033714492,0.016901958017906615,0.0026643940284514223,-0.018759639238979275,0,1312.260009765625
2006-03-24,0.00012150883286032865,-0.0006254017837257209,0.006812257062199123,0.01754591827512364,-0.002151123671039201,-0.0014789589785340063,-0.015413139621907046,0,1321.22998046875
2006-03-27,0.00037899154503762134,0.0005000572456701491,0.00687141684443926,0.011942020737352177,0.0060111652486800615,-0.011614519416526026,0.0241149768177773,0,1330.3399658203125
2006-03-28,0.00012735192816215601,0.0008686359474872063,0.000728940925737831,-0.005329593372657815,0.012760716574543807,0.011021921857762074,-0.0012040125729919637,0,1331.31005859375
2006-03-29,0.0001352671669980765,0.0007018575346524614,0.0010584807419640185,0.01818074353603949,0.006739649286323868,0.018491638307290614,0.00839898713802345,0,1332.719970703125
2006-03-30,9.040591075049065e-05,9.53471935005723e-06,0.0040586563243767415,0.0252172100516721,0.0121012075871616,-0.014500344346926042,-0.042466768251474996,0,1338.1400146484375
2006-03-31,0.00012151248576586227,-0.0005338339674931802,0.015909919922093785,-0.006845818674336535,-0.007075959927987263,0.002063756168923625,-0.0017465620097771861,0,1359.5999755859375
2006-04-03,0.0003222743740725065,-0.000958510208855401,0.014711802454447032,0.005651182545494127,0.004584209011207818,-0.017376575656439908,-0.013072282851570804,0,1379.75
2006-04-04,4.351131118340845e-05,-0.0001757794716112926,0.004259814003758855,-0.0010251225975341782,-0.005420027730431265,-0.0069149816894706895,0.0027795511165300546,0,1385.6400146484375
2006-04-05,0.00012262452005629143,0.0005531547753356847,0.0022563400306179204,0.0046047580234831464,0.006251330421018775,0.005415953882723201,0.011540394636980977,0,1388.77001953125
2006-04-06,0.00012291974500655556,0.000653890341936858,0.005908602902974458,0.010157518269354515,0.017706756309444405,-0.004059326281189879,0.024394716453618237,0,1397.0
2006-04-07,0.00020644982163808834,0.0011309637080216817,0.0038294409649246575,-0.011008592892675306,-0.004499819804473226,-0.015179316321036751,0.001702601848931451,0,1402.3599853515625
2006-04-10,0.00031502155629148376,-0.0005555312368468179,-0.0029064318059042193,0.01638405783765684,0.018282067539835634,-0.009528195232944903,0.005331757810978388,0,1398.2900390625
2006-04-11,0.0001533127156019276,0.0003245060742429473,-0.008770501978896839,-0.00874985343056256,0.0040175761992622405,-0.0024736753148917323,-0.012648916543635202,0,1386.0799560546875
2006-04-12,0.00012303254415257925,0.00013887705079440593,-0.0017980416262206589,0.005897788495569767,-0.0020067704861732594,0.0,0.03298732507273794,0,1383.5899658203125
2006-04-13,0.00011540443364133068,-0.0006332005126807871,0.015868060371320603,0.0026845307907303884,0.006407825211133922,-0.0132456597542987,0.00047341555053304063,0,1405.719970703125
