거래일,단기채,중기채,장기채,kospi_pct,단기채누적,중기채누적,장기채누적,kospi누적
2008-11-18,0.00014587290372481982,-0.0015212257497047186,-0.006097318730353386,-0.03909785592402981,0.2940408181901822,0.29562438481841985,0.27205481670705195,0.9005419791576171
2008-11-19,0.0004687510488197325,0.0019462465663047702,0.005276453825459917,-0.018665071031500946,0.2945095692390019,0.2975706313847246,0.2773312705325119,0.8818769081261162
2008-11-20,0.00012950187849406815,-0.0002708953791633168,-0.0010629980574078173,-0.0670030093821915,0.294639071117496,0.2972997360055613,0.27626827247510405,0.8148738987439247
2008-11-21,0.0003408515966929695,0.0014581965564338473,0.0037525681695693824,0.058016844280007085,0.29497992271418894,0.2987579325619952,0.2800208406446734,0.8728907430239318
2008-11-24,0.000428537369975558,-0.0014391366529965509,-0.004570904835339749,-0.0334651748976319,0.2954084600841645,0.2973187959089986,0.2754499358093337,0.8394255681262999
2008-11-25,5.329280966510564e-05,-0.001196970209035211,-0.003168918447980262,0.013585668047910726,0.2954617528938296,0.2961218256999634,0.2722810173613534,0.8530112361742106
2008-11-26,0.0001931504474219066,0.00032589627364794,0.0011857207164529956,0.047248098279298656,0.2956549033412515,0.29644772197361136,0.2734667380778064,0.9002593344535093
2008-11-27,0.00011963220677652586,-0.0006797291337611513,-0.001994824904698207,0.03272543650100035,0.295774535548028,0.2957679928398502,0.2714719131731082,0.9329847709545096
2008-11-28,0.00011534460018970051,-0.0005884805871624143,-0.0020155897413396164,0.01183849249633262,0.2958898801482177,0.2951795122526878,0.26945632343176856,0.9448232634508422
2008-12-01,0.0006102531359209496,0.0014721506014529198,0.0037966378488406742,-0.016216417147583373,0.29650013328413866,0.2966516628541407,0.2732529612806092,0.9286068463032588
2008-12-02,0.0002444172784344156,0.0006623402046707361,0.0017426955948097917,-0.03345865371899248,0.2967445505625731,0.2973140030588114,0.274995656875419,0.8951481925842664
2008-12-03,0.00044783105526192214,0.0018248209763792687,0.004956762380212385,-0.0005179827990619001,0.297192381617835,0.29913882403519065,0.27995241925563136,0.8946302097852045
2008-12-04,0.00017010478449854135,-0.00090597267826444,-0.0032242473226999375,-0.015772438812129086,0.29736248640233354,0.29823285135692623,0.2767281719329314,0.8788577709730754
2008-12-05,0.00046737313186853946,0.0023431379357075977,0.005312659374483997,0.02144971883879454,0.2978298595342021,0.30057598929263385,0.2820408313074154,0.9003074898118699
2008-12-08,0.0007790498821135125,0.00026691417078974746,-0.001373882814875539,0.07481544162703146,0.2986089094163156,0.30084290346342357,0.28066694849253987,0.9751229314389014
2008-12-09,0.0005002278719301967,0.0013725538554079813,0.0018043764311710504,0.0007148997782906452,0.29910913728824584,0.30221545731883154,0.2824713249237109,0.975837831217192
2008-12-10,0.00042326287350214105,0.0011392920943022226,0.002441270394102731,0.036198726759748334,0.299532400161748,0.3033547494131338,0.28491259531781365,1.0120365579769404
2008-12-11,0.0026761775533671378,0.010017072922897684,0.013683625512108657,0.0074703064047405565,0.3022085777151151,0.31337182233603145,0.2985962208299223,1.019506864381681
2008-12-12,0.0004354284958915223,0.006680548099488584,0.017095842465975047,-0.04383981705257156,0.3026440062110066,0.32005237043552004,0.3156920632958974,0.9756670473291094
2008-12-15,0.0008257441627131201,0.0026926430089866385,0.00563880300291717,0.049256219311119676,0.30346975037371976,0.3227450134445067,0.3213308662988146,1.024923266640229
2008-12-16,0.0006770535808604148,0.00740760476415631,0.018342663242154503,0.0029097125687493897,0.30414680395458016,0.330152618208663,0.3396735295409691,1.0278329792089784
2008-12-17,0.0005077675003415346,0.0005254930294897541,0.001543214885821464,0.0070508626330108015,0.3046545714549217,0.3306781112381527,0.34121674442679056,1.0348838418419892
2008-12-18,0.0003123824120540588,0.0001804820076769899,0.00012766030515486083,0.005266082496260038,0.30496695386697575,0.3308585932458297,0.34134440473194544,1.0401499243382493
2008-12-19,0.00012600902711747735,-0.001181233656062949,-0.002466965377228645,0.004303050403517306,0.3050929628940932,0.3296773595897668,0.3388774393547168,1.0444529747417666
2008-12-22,0.00048451770805281257,-0.0010042505323214488,-0.0054622196770763,-0.0011515957221607254,0.305577480602146,0.32867310905744535,0.33341521967764054,1.043301379019606
2008-12-23,0.00014823010394068937,-0.00016928305157028098,-0.0012003422216126133,-0.029925144751231314,0.30572571070608673,0.3285038260058751,0.3322148774560279,1.0133762342683745
