Date,단기채로그,중기채로그,ksp로그,iau로그,dbc로그,vnq로그,nsd로그,상승,코스피,유동성기법,레버리지기법,그레이엄기법,린치기법,버핏기법,삼대투자기법,성장성기법,수익성기법,시장가치기법,활동성기법,단기채w,중기채w,kspw,iauw,dbcw,vnqw,nsdw,금액,kospi,유동성추이,레버리지추이,성장성추이,수익성추이,시장가치추이,활동성추이,그레이엄추이,린치추이,버핏추이,삼대투자추이,Date
2017-07-17,0.00010827,2.75e-05,0.004326783,0.004224699,-0.003447123,0.00803193,0.006033268,0,2425.100098,0.013393433,0.011353538,0.003543271,0.00761539,0.00229833,0.003641112,0.001645505,0.008740664,0.004244569,0.004319213,0.2903427,0.24568997,0.16426466,0.069950365,0.08709214,0.06562675,0.07703336,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2017-07-17
2017-07-18,4.75e-05,0.00020511,0.000387514,0.007559898,0.004135111,-0.002151636,0.002933008,0,2426.040039,-0.002331965,0.001327547,0.005499585,-0.004613502,-0.000930891,-0.008356801,-0.005728996,0.001003779,-0.005137683,-0.007171075,0.2903427,0.24568997,0.16426466,0.069950365,0.08709214,0.06562675,0.07703336,10000,10011.047233538848,10006.584430190253,10012.59270032387,10001.026751403242,10012.060243613674,10001.992806515575,9998.673154876571,10019.469323116502,10002.849662779981,10008.88214820003,9996.740489474747,2017-07-18
2017-07-19,2.65e-05,6.96e-05,0.001606227,-0.001675001,0.008901164,0.007510559,0.001533213,0,2429.939941,0.004863613,-0.001580445,-0.002149862,0.006325364,0.010995685,-0.001051385,0.009240728,0.000542274,0.005040037,0.002388641,0.2903427,0.24568997,0.16426466,0.069950365,0.08709214,0.06562675,0.07703336,10000,10026.698098985995,10027.599926876905,10023.004744438434,10029.272263048188,10025.961005391207,10023.289958958432,10015.592303776491,10028.953092559967,10026.272615237805,10040.064523192164,10008.003681823164,2017-07-19
2017-07-20,4.06e-05,0.000338985,0.004885348,0.001675001,-0.00136431,-0.004642884,0.002919957,0,2441.840088,0.012834917,0.003247666,0.01041008,-0.004061383,0.001638859,0.013152367,-0.003392045,0.006011067,0.010600748,0.001226608,0.2903427,0.24568997,0.16426466,0.069950365,0.08709214,0.06562675,0.07703336,10000,10034.912802867548,10049.02631116009,10028.509113830041,10023.842218854537,10036.0391928915,10040.985278223152,10017.760094425466,10046.340985464412,10019.745921253598,10042.91848126322,10029.916894839742,2017-07-20
2017-07-21,3.93e-05,0.000425748,0.003360648,0.009162964,-0.013745917,-0.000716039,0.009947399,0,2450.060059,-0.003102245,-0.004953017,-0.000480838,-0.006604392,-0.007433223,-0.001016674,-0.003777943,-0.002766288,0.008144521,-0.001461573,0.2903427,0.24568997,0.16426466,0.069950365,0.08709214,0.06562675,0.07703336,10000,10043.412400447902,10046.868169134581,10023.318800971914,10020.580726829403,10034.436064722677,10057.425967708527,10018.302344438081,10048.501678043245,10011.85782279122,10033.65438371891,10031.191893371213,2017-07-21
2017-07-24,0.00011919,0.000304698,0.000599793,0.00165696,0.002073951,-0.001912094,-0.00137556,0,2451.530029,0.00141509,0.001120478,0.001722475,-0.001942185,-0.005928377,-0.001641025,0.004816792,0.003398917,0.001375449,0.007094994,0.2903427,0.24568997,0.16426466,0.069950365,0.08709214,0.06562675,0.07703336,10000,10046.159650549926,10050.96324241411,10026.918588343497,10030.281856726706,10041.803899957577,10061.45976278524,10031.772795468089,10053.105587617812,10010.418722578654,10025.668008598963,10030.245368326081,2017-07-24
2017-07-25,4.09e-05,7.05e-05,-0.004755317,-0.004147678,0.010989212,0.00131493,0.00137556,0,2439.899902,0.010658513,0.004901949,-0.00602466,0.001948814,-0.003742181,0.00246011,0.00431794,0.001405348,0.001116898,-0.000318358,0.2903427,0.24568997,0.16426466,0.069950365,0.08709214,0.06562675,0.07703336,10000,10047.315716235102,10077.64384998265,10043.979845287246,10046.382164966151,10053.104573441255,10072.305221140128,10040.220199708709,10052.177565412714,10022.579229024726,10028.483138427118,10043.274237901795,2017-07-25
2017-07-26,2.95e-05,-0.000217373,-0.002211507,0.007453463,0.009517377,0.006905664,0.023236595,0,2434.51001,-9.76e-05,-0.009212198,0.007765223,0.010018645,-0.011041895,0.004737693,-0.006034822,-0.000442465,-0.001960269,-0.010012055,0.2903427,0.24568997,0.16426466,0.069950365,0.08709214,0.06562675,0.07703336,10000,10079.609004796494,10113.529942829557,10064.777937093811,10072.388925606423,10088.333937002997,10105.09364208732,10059.703958783603,10101.006109367265,10075.00706903131,10046.26540441446,10087.03352725102,2017-07-26
2017-07-27,4.11e-05,0.000452552,0.003579515,-0.000825442,0.006070849,0.00118576,-0.001612905,0,2443.23999,0.005714552,0.008167296,0.008698609,0.006482408,0.006651479,0.00740898,0.007024555,0.010237094,0.008799723,0.003669126,0.2903427,0.24568997,0.16426466,0.069950365,0.08709214,0.06562675,0.07703336,10000,10091.084277076616,10128.607282085428,10083.865932005325,10089.586230517254,10110.92829555161,10125.316811714736,10071.305185582898,10121.051852145734,10091.30552837579,10062.798215093439,10104.897419792254,2017-07-27
2017-07-28,5.09e-05,-2.87e-05,-0.017443875,0.008223762,0.005365551,-0.002729309,0.000537739,0,2400.98999,-0.011067541,-0.003968995,-0.007427654,-0.00100878,-0.024122288,-0.00891598,-0.007553987,-0.01388517,-0.009283419,0.002348294,0.2903427,0.24568997,0.16426466,0.069950365,0.08709214,0.06562675,0.07703336,10000,10071.667531816618,10119.57695954405,10086.545647570203,10086.359966144624,10097.292046083938,10119.22678984327,10084.424182196999,10118.023991377664,10098.882010212665,10032.623772727587,10099.424058447354,2017-07-28
2017-07-31,0.000114775,0.000130741,0.000716103,0.000818684,0.006002023,0.001306185,0.0,0,2402.709961,-0.003336998,-0.011840535,0.001647145,0.004360437,-0.003604744,0.010417604,0.003465857,-0.001189899,0.001202604,-0.014248649,0.2903427,0.24568997,0.16426466,0.069950365,0.08709214,0.06562675,0.07703336,10000,10080.232836995445,10121.454402586052,10074.434239517399,10099.503185724025,10102.718542861452,10128.641994511503,10068.377942701849,10128.177972597723,10113.531374745571,10034.045365671871,10124.197459439372,2017-07-31
2017-08-01,4.68e-05,-0.000177744,0.008392666,-0.000818684,-0.011367574,0.00449988,0.005497841,0,2422.959961,0.014121206,-0.002356362,0.003102609,0.006668733,0.015523398,0.016021779,0.00166283,0.00164621,0.008381874,-0.002719307,0.2903427,0.24568997,0.16426466,0.069950365,0.08709214,0.06562675,0.07703336,10000,10090.648582696913,10141.544829644057,10067.001857135292,10098.717806716224,10101.905286926587,10139.089653910052,10060.35128278006,10129.791440996234,10121.09591524818,10056.3079509607,10147.502073536072,2017-08-01
