Date,Date,단기채로그,중기채로그,ksp로그,iau로그,dbc로그,vnq로그,nsd로그,상승,코스피,유동성기법,레버리지기법,그레이엄기법,린치기법,버핏기법,삼대투자기법,성장성기법,수익성기법,시장가치기법,활동성기법,단기채w,중기채w,kspw,iauw,dbcw,vnqw,nsdw,금액,kospi,유동성추이,레버리지추이,성장성추이,수익성추이,시장가치추이,활동성추이,그레이엄추이,린치추이,버핏추이,삼대투자추이
2019-01-17,2019-01-17,5.25399272959248e-05,0.0001967713726234,0.0004556963981956,-0.0008074468502501,0.0006495341771923,0.004812313298621,-0.0062879769158143,0.0,2107.06005859375,0.0004556963981956,0.0004556963981956,0.0004556963981956,0.0004556963981956,0.0004556963981956,0.0004556963981956,0.0004556963981956,0.0004556963981956,0.0004556963981956,0.0004556963981956,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10374.038934882985,10871.663459999994,10363.019502696225,10236.87467218319,10392.703816949788,10216.250896089992,10321.06064845536,10158.555430763678,10414.634508740555,10328.070098091244,10237.378990805184
2019-01-18,2019-01-18,4.49706966669793e-05,-0.0001697877274633,0.0081392964929625,-0.0089249804700939,0.0103360117568418,0.0034048980890668,0.0084553453987474,0.0,2124.28002929687,0.0081392964929625,0.0081392964929625,0.0081392964929625,0.0081392964929625,0.0081392964929625,0.0081392964929625,0.0081392964929625,0.0081392964929625,0.0081392964929625,0.0081392964929625,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10383.221304152092,10881.286291482102,10372.192118339372,10245.935633298875,10401.902707059098,10225.293602490323,10330.196125073275,10167.547069197994,10423.85281035503,10337.21177898074,10246.440398308225
2019-01-21,2019-01-21,0.000142407560693,0.0003181118074344,0.0001553714570361,0.0,0.0,0.0,0.0,0.0,2124.61010742187,0.0001553714570361,0.0001553714570361,0.0001553714570361,0.0001553714570361,0.0001553714570361,0.0001553714570361,0.0001553714570361,0.0001553714570361,0.0001553714570361,0.0001553714570361,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10384.426220427007,10882.549005485838,10373.395754737352,10247.124618319487,10403.109791209068,10226.480192115694,10331.39488806499,10168.726957652725,10425.062441694925,10338.411356100876,10247.629441904066
2019-01-22,2019-01-22,5.32046213770343e-05,0.0006620372733419,-0.0032246491889349,0.0024419818548993,-0.0070945288282104,-0.0030262661019149,0.0031223628019132,0.0,2117.77001953125,-0.0032246491889349,-0.0032246491889349,-0.0032246491889349,-0.0032246491889349,-0.0032246491889349,-0.0032246491889349,-0.0032246491889349,-0.0032246491889349,-0.0032246491889349,-0.0032246491889349,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10381.935961218114,10879.939292892974,10370.908140712527,10244.667285010575,10400.615051547122,10224.027809486903,10328.917346146487,10166.288424660004,10422.562437631375,10335.932131583475,10245.17198753487
2019-01-23,2019-01-23,4.99212169202678e-05,0.0001075815347082,0.0047155389522188,-0.0008133574112316,-0.0012952823417489,0.0001261070820799,0.0158214370947042,0.0,2127.78002929687,0.0047155389522188,0.0047155389522188,0.0047155389522188,0.0047155389522188,0.0047155389522188,0.0047155389522188,0.0047155389522188,0.0047155389522188,0.0047155389522188,0.0047155389522188,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10397.710323599818,10896.470323881622,10386.665747371833,10260.233080719338,10416.417795026622,10239.562245479372,10344.61115179482,10181.735131159312,10438.398528072627,10351.636595529828,10260.738550091022
2019-01-24,2019-01-24,4.50449484734605e-05,-0.000228551474013,0.008074355509124,-0.0024439712969832,0.0025889517314987,0.0034036117681193,0.0030636708350648,0.0,2145.03002929687,0.008074355509124,0.008074355509124,0.008074355509124,0.008074355509124,0.008074355509124,0.008074355509124,0.008074355509124,0.008074355509124,0.008074355509124,0.008074355509124,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10407.261485042216,10906.479637853321,10396.206763452674,10269.657957883705,10425.986140836943,10248.968134762908,10354.113537233025,10191.08790143035,10447.987065013825,10361.145434422227,10270.163891571032
2019-01-25,2019-01-25,3.68294223243026e-05,0.0001778261201632,0.0151294889612669,0.0153786584135904,0.0051580064247782,0.0123804184059546,0.0082025993221952,0.0,2177.72998046875,0.0151294889612669,0.0151294889612669,0.0151294889612669,0.0151294889612669,0.0151294889612669,0.0151294889612669,0.0151294889612669,0.0151294889612669,0.0151294889612669,0.0151294889612669,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10472.095319450002,10974.423438038293,10460.97173056141,10333.634567333078,10490.936623724725,10312.815853382732,10418.616277312844,10254.575045131522,10513.07460646182,10425.691980921112,10334.143652821764
2019-01-28,2019-01-28,0.0001314261553027,-3.31594337232843e-05,-0.0001974414133218,0.0024067186708527,-0.0135968968333806,0.0097708580319171,0.0044249909738365,0.0,2177.30004882812,-0.0001974414133218,-0.0001974414133218,-0.0001974414133218,-0.0001974414133218,-0.0001974414133218,-0.0001974414133218,-0.0001974414133218,-0.0001974414133218,-0.0001974414133218,-0.0001974414133218,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10477.996061261045,10980.607228125904,10466.86620453168,10339.457290264014,10496.847982099936,10318.626845532757,10424.486885133476,10260.353220165021,10518.998438990133,10431.566575708901,10339.966662608571
2019-01-29,2019-01-29,8.05969821655594e-05,0.0002453466314467,0.0027794243430445,0.0071856720625511,0.0097308883798925,0.0078460329357978,-0.0030253562309621,0.0,2183.36010742187,0.0027794243430445,0.0027794243430445,0.0027794243430445,0.0027794243430445,0.0027794243430445,0.0027794243430445,0.0027794243430445,0.0027794243430445,0.0027794243430445,0.0027794243430445,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10507.644871634884,11011.678240139354,10496.483521573233,10368.714087725584,10526.550136359656,10347.824700625748,10453.984284549822,10289.386182690938,10548.763270759197,10461.084008001966,10369.224901403386
2019-01-30,2019-01-30,5.36507489812265e-05,-0.0002199233051261,0.010406532575736,0.0047619470993875,0.0070762730992517,0.0080271510576128,0.0102027736830647,0.0,2206.19995117187,0.010406532575736,0.010406532575736,0.010406532575736,0.010406532575736,0.010406532575736,0.010406532575736,0.010406532575736,0.010406532575736,0.010406532575736,0.010406532575736,0.28864396,0.19826971,0.07593839,0.1808192,0.08332544,0.087186225,0.08581713,10000,10547.614704723725,11053.565356297468,10536.410898212082,10408.15544461337,10566.591882830111,10387.18659676606,10493.749999138709,10328.525785649823,10588.889513354634,10500.876729095622,10408.668201365734
